root info:  osm {'version': '0.6', 'generator': 'CGImap 0.8.6 (2356102 spike-08.openstreetmap.org)', 'copyright': 'OpenStreetMap and contributors', 'attribution': 'http://www.openstreetmap.org/copyright', 'license': 'http://opendatacommons.org/licenses/odbl/1-0/'}
nspaces =  {}
node 1067651332 : ('33.6451926', '130.6689267')
node 1067651518 : ('33.6718710', '130.6624274')
node 1067651642 : ('33.6429769', '130.6502885')
node 1067651705 : ('33.6584270', '130.6513820')
node 1067651784 : ('33.6710741', '130.6620417')
node 1067652008 : ('33.6599550', '130.6489040')
node 1067652090 : ('33.6695084', '130.6776303')
node 1067652295 : ('33.6531056', '130.6764649')
node 1067652334 : ('33.6652837', '130.6634008')
node 1067652424 : ('33.6620560', '130.6688820')
node 1067652429 : ('33.6520987', '130.6784698')
node 1067652436 : ('33.6725116', '130.6633672')
node 1067652550 : ('33.6480375', '130.6491046')
node 1067652598 : ('33.6364192', '130.6522979')
node 1067652617 : ('33.6703883', '130.6627649')
node 1067652710 : ('33.6571270', '130.6532650')
node 1067652945 : ('33.6726307', '130.6651402')
node 1067653177 : ('33.6601570', '130.6467850')
node 1067653219 : ('33.6584770', '130.6534670')
node 1067653415 : ('33.6463700', '130.6704985')
node 1067653462 : ('33.6360030', '130.6490028')
node 1067653512 : ('33.6510129', '130.6735698')
node 1067653519 : ('33.6655490', '130.6790971')
node 1067653630 : ('33.6411167', '130.6479323')
node 1067653753 : ('33.6577000', '130.6537180')
node 1067653765 : ('33.6375982', '130.6524059')
node 1067653796 : ('33.6425473', '130.6694437')
node 1067653983 : ('33.6643861', '130.6644851')
node 1067654318 : ('33.6357876', '130.6516620')
node 1067654320 : ('33.6702950', '130.6746560')
node 1067654465 : ('33.6662556', '130.6643404')
node 1067654529 : ('33.6481765', '130.6495116')
node 1067654805 : ('33.6532228', '130.6754990')
node 1067654917 : ('33.6497313', '130.6751886')
node 1067655062 : ('33.6734730', '130.6657250')
node 1067655154 : ('33.6586880', '130.6510340')
node 1067655270 : ('33.6662653', '130.6658251')
node 1067655288 : ('33.6608600', '130.6478250')
node 1067655292 : ('33.6727506', '130.6640495')
node 1067655337 : ('33.6527432', '130.6746854')
node 1067655373 : ('33.6598750', '130.6513870')
node 1067655396 : ('33.6578021', '130.6739473')
node 1067655418 : ('33.6597031', '130.6838910')
node 1067655428 : ('33.6631532', '130.6777286')
node 1067655429 : ('33.6547105', '130.6755855')
node 1067655456 : ('33.6476914', '130.6485115')
node 1067655519 : ('33.6587440', '130.6508550')
node 1067655772 : ('33.6412346', '130.6476098')
node 1067655773 : ('33.6692134', '130.6771492')
node 1067655885 : ('33.6665837', '130.6638145')
node 1067655908 : ('33.6479234', '130.6483175')
node 1067655931 : ('33.6615180', '130.6790728')
node 1067655953 : ('33.6455733', '130.6684461')
node 1067655963 : ('33.6673392', '130.6669952')
node 1067656172 : ('33.6583193', '130.6724104')
node 1067656220 : ('33.6342266', '130.6498026')
node 1067656317 : ('33.6587593', '130.6839345')
node 1067656374 : ('33.6411208', '130.6476187')
node 1067656388 : ('33.6592750', '130.6537580')
node 1067656488 : ('33.6655258', '130.6624358')
node 1067656702 : ('33.6585484', '130.6727680')
node 1067656718 : ('33.6531844', '130.6767279')
node 1067656742 : ('33.6500039', '130.6757779')
node 1067656792 : ('33.6590870', '130.6504040')
node 1067656815 : ('33.6418955', '130.6686020')
node 1067656836 : ('33.6653754', '130.6633056')
node 1067656916 : ('33.6593870', '130.6491510')
node 1067656918 : ('33.6417350', '130.6680741')
node 1067657028 : ('33.6703030', '130.6735880')
node 1067657076 : ('33.6708100', '130.6762220')
node 1067657122 : ('33.6436479', '130.6489870')
node 1067657173 : ('33.6355428', '130.6495251')
node 1067657296 : ('33.6660162', '130.6772625')
node 1067657394 : ('33.6610380', '130.6508010')
node 1067657422 : ('33.6343390', '130.6507662')
node 1067657445 : ('33.6535372', '130.6766117')
node 1067657467 : ('33.6606728', '130.6747551')
node 1067657476 : ('33.6588510', '130.6504950')
node 1067657522 : ('33.6620349', '130.6690423')
node 1067657539 : ('33.6454748', '130.6686229')
node 1067657659 : ('33.6713045', '130.6621913')
node 1067657910 : ('33.6412508', '130.6484557')
node 1067657940 : ('33.6654545', '130.6705880')
node 1067657943 : ('33.6514927', '130.6732210')
node 1067657993 : ('33.6645293', '130.6766022')
node 1067658173 : ('33.6693880', '130.6622185')
node 1067658523 : ('33.6580320', '130.6544040')
node 1067658624 : ('33.6679734', '130.6780381')
node 1067658644 : ('33.6537408', '130.6784671')
node 1067658680 : ('33.6599260', '130.6492650')
node 1067658768 : ('33.6596471', '130.6786969')
node 1067658857 : ('33.6660612', '130.6641220')
node 1067658889 : ('33.6571100', '130.6528610')
node 1067659042 : ('33.6438624', '130.6496526')
node 1067659147 : ('33.6505300', '130.6734391')
node 1067659488 : ('33.6597358', '130.6738751')
node 1067659493 : ('33.6423092', '130.6667287')
node 1067659636 : ('33.6470215', '130.6698280')
node 1067659641 : ('33.6435519', '130.6497536')
node 1067659717 : ('33.6581133', '130.6721612')
node 1067659993 : ('33.6415998', '130.6486027')
node 1067660058 : ('33.6573820', '130.6532821')
node 1067660097 : ('33.6593560', '130.6775258')
node 1067660377 : ('33.6582730', '130.6483000')
node 1067660736 : ('33.6619376', '130.6699562')
node 1067660783 : ('33.6522363', '130.6785666')
node 1067660878 : ('33.6618585', '130.6695802')
node 1067661100 : ('33.6587830', '130.6534730')
node 1067661137 : ('33.6546065', '130.6756396')
node 1067661268 : ('33.6659590', '130.6775743')
node 1067661320 : ('33.6413408', '130.6472487')
node 1067661400 : ('33.6479316', '130.6490156')
node 1067661716 : ('33.6528621', '130.6788640')
node 1067661790 : ('33.6498162', '130.6741600')
node 1067661835 : ('33.6587840', '130.6533830')
node 1067661884 : ('33.6499758', '130.6749460')
node 1067662228 : ('33.6698885', '130.6771368')
node 1067662467 : ('33.6416200', '130.6479011')
node 1067662557 : ('33.6587750', '130.6537280')
node 1067662628 : ('33.6606923', '130.6699913')
node 1067663200 : ('33.6589630', '130.6486330')
node 1067663203 : ('33.6453073', '130.6688313')
node 1067663345 : ('33.6345360', '130.6518854')
node 1067663351 : ('33.6504620', '130.6734441')
node 1067663366 : ('33.6509520', '130.6732807')
node 1067663547 : ('33.6584741', '130.6719794')
node 1067663554 : ('33.6520207', '130.6783154')
node 1067663576 : ('33.6650233', '130.6638657')
node 1067663699 : ('33.6660207', '130.6611881')
node 1067663743 : ('33.6594810', '130.6506091')
node 1067663837 : ('33.6703440', '130.6737560')
node 1067664160 : ('33.6579440', '130.6547000')
node 1067664227 : ('33.6591870', '130.6491020')
node 1067664284 : ('33.6639389', '130.6690049')
node 1067664369 : ('33.6608760', '130.6473150')
node 1067664730 : ('33.6618068', '130.6707086')
node 1067664813 : ('33.6478914', '130.6480675')
