node_id,lat,lon
353,32.5255396,131.6752354
354,32.5256208,131.6742059
355,32.5255793,131.6756421
356,32.5254413,131.6816619
357,32.5256439,131.6760017
358,32.5257736,131.6767297
359,32.5258877,131.6721388
360,32.5259055,131.6774848
361,32.5260185,131.6739184
362,32.5259887,131.6779421
363,32.5272474,131.6653995
364,32.526116,131.670265
365,32.5262049,131.6701986
366,32.52615,131.6803626
367,32.5261673,131.6789322
368,32.5262266,131.6689726
369,32.526358,131.6648137
370,32.5264135,131.6811258
371,32.526465,131.675012
372,32.5265428,131.6686763
373,32.5265394,131.6817648
374,32.526533,131.6754039
375,32.526595,131.675769
376,32.5266795,131.6718498
377,32.526731,131.668082
378,32.526724,131.676501
379,32.5267207,131.6701828
380,32.5268585,131.6772479
381,32.526944,131.673472
382,32.5268815,131.6427011
383,32.526939,131.677697
384,32.5270316,131.667223
385,32.5270165,131.6781347
386,32.5270998,131.6786102
387,32.5271272,131.6736521
388,32.5271157,131.678693
389,32.5272053,131.6791975
390,32.5274543,131.6732712
391,32.5273338,131.6663548
392,32.5273969,131.680173
393,32.5274627,131.6706573
394,32.527462,131.669327
395,32.5276188,131.6753536
396,32.5276211,131.6770551
397,32.5275445,131.6657845
398,32.527701,131.6687194
399,32.52778,131.673162
400,32.5277582,131.6635516
401,32.5277298,131.6803268
402,32.5278105,131.6807457
403,32.5279214,131.681363
404,32.5279897,131.6769619
405,32.5279382,131.6685854
406,32.5280668,131.6774285
407,32.5280698,131.6746711
408,32.5282332,131.6783365
409,32.528377,131.6786117
410,32.5283183,131.6736249
411,32.528341,131.6789093
412,32.5284123,131.6786681
413,32.5285921,131.6689105
414,32.528659,131.6704742
415,32.5287178,131.6797256
416,32.5288183,131.6713054
417,32.5289622,131.6713095
418,32.5289731,131.6810943
419,32.5289866,131.676768
420,32.5290831,131.6816795
421,32.529115,131.6662508
422,32.5291623,131.672733
423,32.5292192,131.6824492
424,32.5292737,131.6663452
425,32.5293777,131.672672
426,32.5294034,131.6775084
427,32.5294178,131.6712887
428,32.5294283,131.6775876
429,32.5295796,131.6783188
430,32.529681,131.619061
431,32.5297,131.6706729
432,32.529741,131.6746427
433,32.529791,131.6793833
434,32.5298928,131.6772206
435,32.5299982,131.6698841
436,32.5299888,131.6754791
437,32.5300744,131.6807901
438,32.530135,131.6750856
439,32.5301387,131.6781564
440,32.530288,131.6746883
441,32.530195,131.6653106
442,32.5303741,131.6792053
443,32.530314,131.6756345
444,32.5304475,131.6742535
445,32.530492,131.6733838
446,32.5306061,131.6738256
447,32.5306387,131.6714855
448,32.5307029,131.6806892
449,32.5307183,131.6779802
450,32.5307701,131.6749298
451,32.530926,131.673343
452,32.5309556,131.6722201
453,32.5309628,131.6745229
454,32.5320545,131.6641097
455,32.5309602,131.6790185
456,32.531043,131.6740472
457,32.5310805,131.6667163
458,32.5311272,131.6797185
459,32.5311718,131.6751948
460,32.5311777,131.6775358
461,32.5313711,131.6759255
462,32.5312379,131.6677479
463,32.5313083,131.6805344
464,32.5313496,131.6731266
465,32.531437,131.6774528
466,32.5316074,131.6713816
467,32.531636,131.675483
468,32.5317815,131.6779091
469,32.5318177,131.6728636
470,32.5318315,131.6750611
471,32.5320131,131.6738709
472,32.532006,131.6742597
473,32.5319701,131.6787006
474,32.532035,131.633041
475,32.5320544,131.6687241
476,32.532158,131.6794757
477,32.5322799,131.6667276
478,32.5323383,131.6802693
479,32.5323743,131.6663186
480,32.532683,131.6758463
481,32.5327059,131.6718742
482,32.5328811,131.6709255
483,32.5329814,131.6783782
484,32.533317,131.6687394
485,32.533587,131.6667764
486,32.5333645,131.6708768
487,32.5334992,131.6685293
488,32.5337386,131.6693844
489,32.5340836,131.6790085
490,32.5339941,131.6693141
491,32.5340782,131.6675471
492,32.5343121,131.6724109
493,32.5344686,131.6763179
494,32.5342417,131.674677
495,32.5344951,131.6797176
496,32.5345628,131.6670374
497,32.5345197,131.6745512
498,32.5347254,131.6788513
499,32.534918,131.659689
500,32.5355624,131.6797708
501,32.5350748,131.6687842
502,32.5351876,131.6689862
503,32.535469,131.6810615
504,32.5355402,131.6776049
505,32.5359819,131.6694972
506,32.5361391,131.6680089
507,32.5362398,131.6753441
508,32.5363089,131.6675481
509,32.5365429,131.6670988
510,32.5364939,131.6731868
511,32.5365147,131.6639387
512,32.5364905,131.6749338
513,32.5365777,131.6754596
514,32.5367521,131.6658285
515,32.5367575,131.6746498
516,32.5367812,131.6579639
517,32.536861,131.618511
518,32.5369217,131.6752242
519,32.5369372,131.6743047
520,32.5369546,131.6666088
521,32.5369654,131.6657443
522,32.53713,131.643712
523,32.5370936,131.6739417
524,32.537111,131.6720855
525,32.5371487,131.6724822
526,32.537253,131.6749783
527,32.5372231,131.6792871
528,32.5372681,131.6734548
529,32.5375496,131.6747024
530,32.5373538,131.6715252
531,32.5375174,131.6709914
532,32.5378505,131.6635865
533,32.5377972,131.6743994
534,32.5379633,131.6633916
535,32.5378622,131.6644744
536,32.5363674,131.6810634
537,32.5379414,131.6672316
538,32.5379485,131.6717382
539,32.5380175,131.673724
540,32.5378696,131.6710752
541,32.5381494,131.6737723
542,32.538192,131.628774
543,32.538211,131.6770683
544,32.5384612,131.6708445
545,32.5385334,131.6708326
546,32.53842,131.6748888
547,32.5385009,131.6675379
548,32.5385548,131.6746101
549,32.5387005,131.6708256
550,32.5390461,131.6708723
551,32.538917,131.6736582
552,32.53887,131.6579499
553,32.5390134,131.6730256
554,32.5389536,131.6741335
555,32.5389933,131.6760454
556,32.5390896,131.6782305
557,32.5390409,131.6779706
558,32.5391635,131.6748868
559,32.5391586,131.6721476
560,32.5393003,131.6702937
561,32.5393448,131.6645999
562,32.5393043,131.6712392
563,32.5393219,131.6711179
564,32.5392246,131.6699609
565,32.539268,131.674407
566,32.5394482,131.6680481
567,32.539428,131.6730753
568,32.5395601,131.6638959
569,32.5395729,131.6722175
570,32.53962,131.656241
571,32.539906,131.6722906
572,32.5399789,131.6758654
573,32.5401624,131.6760841
574,32.540047,131.6738541
575,32.54004,131.6750872
576,32.5401766,131.6662096
577,32.540122,131.6710274
578,32.5400397,131.6767674
579,32.5402982,131.6685158
580,32.5402677,131.6738906
581,32.5402611,131.6594664
582,32.5402705,131.673461
583,32.5402986,131.6723905
584,32.5403037,131.6732366
585,32.5404118,131.674657
586,32.5404956,131.6754444
587,32.5405856,131.6704682
588,32.5406012,131.6712559
589,32.5407264,131.6708982
590,32.5408375,131.6688065
591,32.5408503,131.675656
592,32.5411249,131.6745648
593,32.5411926,131.6634007
594,32.5410925,131.6738886
595,32.5411719,131.6724759
596,32.5414772,131.6720617
597,32.5420544,131.678334
598,32.5413616,131.6759479
599,32.5415734,131.6730941
600,32.5414822,131.6756253
601,32.5415657,131.6679129
602,32.5417098,131.6627509
603,32.5420624,131.6784843
604,32.5416433,131.6747596
605,32.5416433,131.674058
606,32.541923,131.6762402
607,32.542241,131.634653
608,32.5423036,131.6683748
609,32.5423866,131.6754023
610,32.5423913,131.6507675
611,32.5425411,131.6605143
