edge_id,start,end,length,linestring,highway,oneway,reversed,lanes,name
20,7,3583,116.296,LINESTRING (131.6764243 32.5043944 131.6763666 32.5039113 131.6763023 32.5033536),residential,False,True,nan,nan
21,7,12,213.543,LINESTRING (131.6764243 32.5043944 131.6757643 32.5042422 131.6757106 32.5042365 131.6756569 32.5042493 131.6755977 32.5042828 131.6755311 32.5043261 131.6752856 32.5045901 131.6750594 32.5047526 131.6749408 32.5048513 131.6749049 32.5048478 131.6746651 32.504758 131.6745236 32.5046824),unclassified,False,True,nan,nan
22,7,47,310.36,LINESTRING (131.6764243 32.5043944 131.676295 32.504528 131.675709 32.505317 131.6746299 32.5067383),unclassified,False,True,nan,nan
23,8,8254,19.741,LINESTRING (131.6771878 32.5045732 131.6770043 32.5044862),unclassified,False,True,nan,nan
24,8,8476,152.07000000000002,LINESTRING (131.6771878 32.5045732 131.6770356 32.504781 131.6770036 32.504848 131.6768534 32.5050186 131.6768363 32.505043 131.6768258 32.5050779 131.6768282 32.505105 131.6768369 32.5051759 131.6768503 32.5052426 131.6768568 32.5052686 131.6768674 32.5052908 131.676885 32.5053119 131.6769154 32.5053413 131.6769524 32.5053658 131.6770277 32.5054043 131.6770625 32.5054304 131.6771325 32.5055015 131.6771919 32.5055877 131.6772406 32.5057294),residential,False,False,nan,nan
25,8,17,90.348,LINESTRING (131.6771878 32.5045732 131.6776331 32.5047904 131.6776894 32.5048392 131.6779213 32.5050805),unclassified,False,False,nan,nan
26,9,12,7.703,LINESTRING (131.6745294 32.5046133 131.6745236 32.5046824),tertiary,False,False,nan,nan
27,9,7269,293.931,LINESTRING (131.6745294 32.5046133 131.6744035 32.5045391 131.6741803 32.5044168 131.6738649 32.5042265 131.6736005 32.5040972 131.6733942 32.5040836 131.673278 32.5040757 131.6731526 32.5039743 131.6726654 32.5039322 131.6727116 32.5034809 131.6724578 32.5034606 131.6724746 32.5032569),['unclassified' 'service'],False,[False True],nan,nan
28,9,3589,116.279,LINESTRING (131.6745294 32.5046133 131.6745652 32.5039506 131.6746045 32.5035697),tertiary,False,True,nan,nan
29,10,19,23.224,LINESTRING (131.6721596 32.5047405 131.6720638 32.5049331),unclassified,False,False,nan,nan
30,10,15,56.535,LINESTRING (131.6721596 32.5047405 131.6727171 32.504934),unclassified,False,False,nan,nan
31,10,13,178.99,LINESTRING (131.6721596 32.5047405 131.6710759 32.5043718 131.6710016 32.5044029 131.6707832 32.504866 131.6707227 32.5048887),unclassified,False,False,nan,nan
32,11,8580,42.018,LINESTRING (131.6684956 32.5045861 131.6688443 32.5048234),service,False,True,nan,nan
33,11,8629,18.978,LINESTRING (131.6684956 32.5045861 131.6683762 32.5047239),service,False,False,nan,nan
34,11,8621,7.125,LINESTRING (131.6684956 32.5045861 131.6685419 32.5045353),service,False,True,nan,nan
35,12,9,7.703,LINESTRING (131.6745236 32.5046824 131.6745294 32.5046133),tertiary,False,True,nan,nan
36,12,7,213.543,LINESTRING (131.6745236 32.5046824 131.6746651 32.504758 131.6749049 32.5048478 131.6749408 32.5048513 131.6750594 32.5047526 131.6752856 32.5045901 131.6755311 32.5043261 131.6755977 32.5042828 131.6756569 32.5042493 131.6757106 32.5042365 131.6757643 32.5042422 131.6764243 32.5043944),unclassified,False,False,nan,nan
37,12,20,97.732,LINESTRING (131.6745236 32.5046824 131.6744472 32.5049858 131.6741477 32.5054954),tertiary,False,False,nan,nan
38,13,6,168.68,LINESTRING (131.6707227 32.5048887 131.669302 32.5039583),trunk,False,False,2.0,国道10号
39,13,25,122.195,LINESTRING (131.6707227 32.5048887 131.6713709 32.5053065 131.6717901 32.5055159),trunk,False,True,2.0,国道10号
40,13,21,57.216,LINESTRING (131.6707227 32.5048887 131.6706457 32.5049692 131.6703585 32.5053014),unclassified,False,True,nan,nan
41,13,10,178.99,LINESTRING (131.6707227 32.5048887 131.6707832 32.504866 131.6710016 32.5044029 131.6710759 32.5043718 131.6721596 32.5047405),unclassified,False,True,nan,nan
42,14,8579,40.617,LINESTRING (131.6682789 32.5048361 131.6686151 32.5050664),service,False,False,nan,nan
43,14,8578,1.499,LINESTRING (131.6682789 32.5048361 131.6682883 32.5048252),service,False,True,nan,nan
44,14,8587,48.979,LINESTRING (131.6682789 32.5048361 131.6682464 32.5048816 131.6682382 32.5049244 131.6682579 32.5049742 131.6685257 32.5051585),service,False,False,nan,nan
45,15,10,56.535,LINESTRING (131.6727171 32.504934 131.6721596 32.5047405),unclassified,False,True,nan,nan
46,15,20,148.387,LINESTRING (131.6727171 32.504934 131.6735494 32.5052058 131.6741477 32.5054954),unclassified,False,False,nan,nan
47,15,19,79.659,LINESTRING (131.6727171 32.504934 131.6726267 32.505124 131.6720638 32.5049331),unclassified,False,True,nan,nan
48,16,8645,12.002,LINESTRING (131.6694329 32.5048244 131.6693501 32.5049067),service,False,True,nan,nan
49,16,8584,42.254,LINESTRING (131.6694329 32.5048244 131.6697799 32.5050668),service,False,True,nan,nan
50,16,8620,12.875,LINESTRING (131.6694329 32.5048244 131.6693278 32.5047499),service,False,False,nan,nan
51,17,24,74.015,LINESTRING (131.6779213 32.5050805 131.6779699 32.5051179 131.6780372 32.5051486 131.6782826 32.5052168 131.6783602 32.5052507 131.6784246 32.5052971 131.678515 32.505463),unclassified,False,False,nan,nan
52,17,8,90.348,LINESTRING (131.6779213 32.5050805 131.6776894 32.5048392 131.6776331 32.5047904 131.6771878 32.5045732),unclassified,False,True,nan,nan
53,17,8488,50.273,LINESTRING (131.6779213 32.5050805 131.6777311 32.5052165 131.6777259 32.505236 131.6779006 32.5053905 131.6779054 32.5053978),residential,False,False,nan,nan
54,18,8583,43.379,LINESTRING (131.6691951 32.505062 131.6695514 32.5053108),service,False,True,nan,nan
55,18,8615,12.76,LINESTRING (131.6691951 32.505062 131.6690883 32.5049909),service,False,False,nan,nan
56,18,8643,12.946,LINESTRING (131.6691951 32.505062 131.6692841 32.504973),service,False,False,nan,nan
57,18,8649,12.759,LINESTRING (131.6691951 32.505062 131.6691075 32.5051498),service,False,True,nan,nan
58,19,10,23.224,LINESTRING (131.6720638 32.5049331 131.6721596 32.5047405),unclassified,False,True,nan,nan
59,19,25,69.721,LINESTRING (131.6720638 32.5049331 131.671866 32.5053713 131.6717901 32.5055159),unclassified,False,False,nan,nan
60,19,15,79.659,LINESTRING (131.6720638 32.5049331 131.6726267 32.505124 131.6727171 32.504934),unclassified,False,False,nan,nan
61,20,15,148.387,LINESTRING (131.6741477 32.5054954 131.6735494 32.5052058 131.6727171 32.504934),unclassified,False,True,nan,nan
62,20,38,89.967,LINESTRING (131.6741477 32.5054954 131.6736922 32.5060921 131.6736426 32.5061619 131.6736316 32.5061774),tertiary,False,False,nan,nan
63,20,12,97.732,LINESTRING (131.6741477 32.5054954 131.6744472 32.5049858 131.6745236 32.5046824),tertiary,False,True,nan,nan
