u,v,key,osmid,highway,oneway,reversed,length,geometry,lanes,ref,name,service,width,bridge,maxspeed,tunnel,access
312506505,372507645,0,28444328,tertiary,False,True,44.262,"LINESTRING (130.3744414 33.5757808, 130.374081 33.5757521, 130.3739659 33.5757421)",2,,,,5,,,,
312518562,1236847259,0,107655286,service,False,False,20.465,"LINESTRING (130.3524647 33.5946437, 130.3525552 33.5944758)",,,,,,,,,
312518562,2329205945,0,201674707,pedestrian,False,False,3.768,"LINESTRING (130.3524647 33.5946437, 130.3525053 33.5946458)",,,,,4,,,,
312518562,1236847255,0,201674707,pedestrian,False,True,84.223,"LINESTRING (130.3524647 33.5946437, 130.3515654 33.5945316)",,,,,4,,,,
312518567,1236847328,0,900420538,pedestrian,False,True,3.473,"LINESTRING (130.3563659 33.5953372, 130.3563872 33.5953115)",,,,,,,,,
312518567,1236847211,0,107655278,footway,False,False,66.928,"LINESTRING (130.3563659 33.5953372, 130.356327 33.5953873, 130.3563674 33.5954748, 130.3561462 33.5958837)",,,,,,,,,
312518567,312518569,0,107655288,footway,False,False,141.34099999999998,"LINESTRING (130.3563659 33.5953372, 130.356427 33.5953605, 130.3577987 33.5957741)",,,なぎさ橋,,4,yes,,,
312518567,1236847317,0,201674707,pedestrian,False,True,140.29700000000003,"LINESTRING (130.3563659 33.5953372, 130.3563172 33.5953323, 130.3562956 33.5953303, 130.3557815 33.5952945, 130.3550011 33.5951022, 130.3548903 33.5950791)",,,,,4,,,,
312518569,312518567,0,107655288,footway,False,True,141.34099999999998,"LINESTRING (130.3577987 33.5957741, 130.356427 33.5953605, 130.3563659 33.5953372)",,,なぎさ橋,,4,yes,,,
312856570,1752064055,0,62799042,tertiary,False,False,20.025,"LINESTRING (130.3733087 33.5826983, 130.3732324 33.5828668)",2,,,,5,,,,
312856570,1752064068,0,374632621,tertiary,False,True,82.943,"LINESTRING (130.3733087 33.5826983, 130.3741303 33.5824018)",4,,国体道路,,10,,,,
312856570,767193123,0,28444327,tertiary,False,True,47.186,"LINESTRING (130.3733087 33.5826983, 130.373364 33.5825081, 130.3734584 33.5822934)",4,,城南線,,10,,,,
312856570,1896447730,0,208041323,tertiary,False,False,115.21900000000001,"LINESTRING (130.3733087 33.5826983, 130.3731155 33.5827464, 130.3727044 33.5828905, 130.3723819 33.582948, 130.372116 33.5829351)",4,,,,10,,,,
331387224,2181298730,0,361821535,tertiary,False,True,10.396,"LINESTRING (130.3323269 33.5903543, 130.3324389 33.5903482)",,,,,,,,,
331387224,2181298733,0,376769518,tertiary,True,False,10.555,"LINESTRING (130.3323269 33.5903543, 130.3323993 33.5904276)",,,,,,,,,
331387249,2181298562,0,95484699,residential,False,False,8.302,"LINESTRING (130.341494 33.5875812, 130.341469 33.5876529)",,,,,,,,,
331387249,1973166136,0,217868085,tertiary,True,False,80.27,"LINESTRING (130.341494 33.5875812, 130.3406312 33.587514)",2,,マリナ通り,,,,,,
331387249,7098300065,0,702936174,tertiary,True,False,10.515,"LINESTRING (130.341494 33.5875812, 130.3415604 33.5876579)",2,,,,5.5,,,,
331387258,770594788,0,61843412,tertiary,False,False,26.633,"LINESTRING (130.3560852 33.5881241, 130.3561482 33.5878904)",2,,,,,,40,,
331387258,2181298595,0,175860914,tertiary,False,True,8.857,"LINESTRING (130.3560852 33.5881241, 130.356069 33.5882026)",2,,,,,,40,,
331387258,2181537951,0,207886532,tertiary,True,False,363.95799999999997,"LINESTRING (130.3560852 33.5881241, 130.3559288 33.5880935, 130.355284 33.5879664, 130.3550035 33.5879238, 130.3547662 33.5878918, 130.3536797 33.5877703, 130.3526537 33.5876624, 130.3522063 33.5876221)",2,,よかトピア通り,,5,,,,
331387262,2181537968,0,178160335,tertiary,False,True,13.999,"LINESTRING (130.3674633 33.5938831, 130.3674914 33.5940068)",,,,,,,,,
331387262,781974339,0,62799036,tertiary,False,False,274.493,"LINESTRING (130.3674633 33.5938831, 130.3675153 33.593674, 130.367851 33.5926823, 130.3679459 33.5924258, 130.3679948 33.5922839, 130.3680629 33.5921322, 130.3681211 33.5919988, 130.3681892 33.5918566, 130.3683596 33.5915349)",2,,,,5,,,,
331387262,781974653,0,"[723300987, 827178006]",tertiary,True,False,187.106,"LINESTRING (130.3674633 33.5938831, 130.36689 33.5935018, 130.3659583 33.5927629)",2,,よかトピア通り,,5,yes,,,
331387300,1827296704,0,217018803,secondary,False,False,25.145,"LINESTRING (130.3465715 33.5742805, 130.3465567 33.5745063)",4,558,内野次郎丸弥生線,,10,yes,,,
331387300,2189874236,0,703511017,tertiary,False,True,41.505,"LINESTRING (130.3465715 33.5742805, 130.3461239 33.5742647)",2,,,,5,,,,
331387300,1782140935,0,703511017,tertiary,False,False,223.338,"LINESTRING (130.3465715 33.5742805, 130.34823 33.5743464, 130.3489792 33.5743805)",2,,,,5,,,,
331387301,770592032,0,61843414,tertiary,False,False,37.188,"LINESTRING (130.3582272 33.5748047, 130.3583019 33.5751333)",2,,早良街道,,5,,,,
331387301,1804734419,0,61843414,tertiary,False,True,61.776,"LINESTRING (130.3582272 33.5748047, 130.3580829 33.5742623)",2,,早良街道,,5,,,,
331387301,1792690603,0,703511017,tertiary,False,False,59.031,"LINESTRING (130.3582272 33.5748047, 130.3588633 33.5748357)",2,,,,5,,,,
331387301,6991526747,0,703511017,tertiary,False,True,118.373,"LINESTRING (130.3582272 33.5748047, 130.356952 33.5747379)",2,,,,5,,,,
331387302,1792687241,0,167940081,residential,False,False,39.172,"LINESTRING (130.3622001 33.574977, 130.3623838 33.5752943)",,,,,,,,,
331387302,1792690592,0,703511017,tertiary,False,True,100.477,"LINESTRING (130.3622001 33.574977, 130.3611164 33.5749411)",2,,,,5,,,,
331387302,1814440028,0,170290247,tertiary,False,True,91.277,"LINESTRING (130.3622001 33.574977, 130.3620475 33.5746739, 130.361824 33.5742183)",,,,,,,,,
331387302,1792690585,0,"[28444328, 703511017, 498459187]",tertiary,False,False,14.928,"LINESTRING (130.3622001 33.574977, 130.3622201 33.5749779, 130.362335 33.5749831, 130.362361 33.5749843)",2,,,,5,yes,,,
372507645,376338956,0,28444328,tertiary,False,True,78.885,"LINESTRING (130.3739659 33.5757421, 130.3731181 33.5756761)",2,,,,5,,,,
372507645,312506505,0,28444328,tertiary,False,False,44.262,"LINESTRING (130.3739659 33.5757421, 130.374081 33.5757521, 130.3744414 33.5757808)",2,,,,5,,,,
372507645,770591778,0,33040995,tertiary,False,False,25.715999999999998,"LINESTRING (130.3739659 33.5757421, 130.3739644 33.5758043, 130.3740669 33.5759502)",,,,,,,,,
372507645,1808047345,0,169634228,residential,False,True,158.956,"LINESTRING (130.3739659 33.5757421, 130.3739768 33.5754827, 130.3739272 33.5752057, 130.3736783 33.5743403)",,,,,,,,,
372507669,376338932,0,"[179100105, 33197759]",trunk,True,False,258.525,"LINESTRING (130.3742677 33.5761727, 130.3741678 33.5761239, 130.3722282 33.5752584, 130.3718131 33.5750669)",2,202,別府橋通り,,,yes,,,
372507669,770591778,0,"[33040995, 179095045]",tertiary,False,True,30.958,"LINESTRING (130.3742677 33.5761727, 130.3741824 33.5760817, 130.3740669 33.5759502)",,,,,,yes,,,
373831496,2181298815,0,258870494,tertiary,False,False,8.428,"LINESTRING (130.3635665 33.5912508, 130.3635125 33.5913118)",,,,,,,,,
373831496,1792694601,0,799746446,tertiary,False,True,29.347,"LINESTRING (130.3635665 33.5912508, 130.3637323 33.5910259)",4,,,,10,,,,
373831496,1792694681,0,178160314,tertiary,True,False,139.72,"LINESTRING (130.3635665 33.5912508, 130.3633655 33.591153, 130.362653 33.5908062, 130.3622636 33.5906176)",2,,よかトピア通り,,5,,,,
373831505,6357562412,0,258870491,tertiary,True,False,15.035,"LINESTRING (130.3619696 33.5934174, 130.3618848 33.5935327)",2,,,,5,,,,
373831505,3662461081,0,678982152,footway,False,False,8.214,"LINESTRING (130.3619696 33.5934174, 130.3620467 33.5934539)",,,,,,,,,
373831505,7473282550,0,678982152,footway,False,True,5.502,"LINESTRING (130.3619696 33.5934174, 130.3619381 33.5933954, 130.3619236 33.5933861)",,,,,,,,,
373831629,7512581552,0,61843409,tertiary,False,False,8.505,"LINESTRING (130.3533394 33.5930916, 130.3534304 33.5931018)",2,,,,5,,,,
373831629,2329205223,0,61843411,tertiary,False,False,19.911,"LINESTRING (130.3533394 33.5930916, 130.353377 33.5929153)",2,,,,5,,,,
373831629,2329205323,0,61843411,tertiary,False,True,15.574,"LINESTRING (130.3533394 33.5930916, 130.3533208 33.5932308)",2,,,,5,,,,
373847882,2329205884,0,201674707,pedestrian,False,True,44.785,"LINESTRING (130.3507016 33.5944401, 130.3502202 33.5944024)",,,,,4,,,,
373847882,2329205905,0,201674707,pedestrian,False,False,9.105,"LINESTRING (130.3507016 33.5944401, 130.3507535 33.5944434, 130.3507993 33.5944488)",,,,,4,,,,
373847882,2329205853,0,224086068,steps,False,True,12.753,"LINESTRING (130.3507016 33.5944401, 130.3506957 33.5944134, 130.3506937 33.5943858, 130.3506851 33.5943593, 130.3506724 33.5943423, 130.350662 33.5943334)",,,,,,,,,
373847913,2329206095,0,33117407,footway,False,True,57.363,"LINESTRING (130.3511166 33.5954782, 130.3511982 33.5949767, 130.3511998 33.594967)",,,,,,,,,
373851756,770591840,0,61273728,secondary,False,True,185.35899999999998,"LINESTRING (130.3745241 33.5763466, 130.374366 33.5766032, 130.3741968 33.5769854, 130.3738021 33.5775856, 130.3736676 33.5778496)",,557,東油山唐人線,,,,,,
373851756,372507669,0,"[33117652, 179095044]",trunk,True,False,32.769,"LINESTRING (130.3745241 33.5763466, 130.3745074 33.5762801, 130.3742677 33.5761727)",2,202,別府橋通り,,,yes,,,
376338932,312506456,0,179100105,trunk,True,False,99.669,"LINESTRING (130.3718131 33.5750669, 130.3708604 33.5746505)",2,202,別府橋通り,,,,,,
376338937,376338968,0,33197752,service,False,False,27.236,"LINESTRING (130.3727346 33.5754237, 130.3728505 33.5751986)",,,,alley,,,,,
376338937,376338956,0,33197749,trunk_link,False,True,49.971,"LINESTRING (130.3727346 33.5754237, 130.3730901 33.5755668, 130.3731259 33.5756023, 130.3731181 33.5756761)",,,,,,,,,
376338937,376338932,0,33197756,trunk_link,True,False,94.735,"LINESTRING (130.3727346 33.5754237, 130.3719807 33.5750928, 130.3718131 33.5750669)",,,,,,,,,
376338956,372507645,0,28444328,tertiary,False,False,78.885,"LINESTRING (130.3731181 33.5756761, 130.3739659 33.5757421)",2,,,,5,,,,
376338956,8725239944,0,28444328,tertiary,False,True,73.731,"LINESTRING (130.3731181 33.5756761, 130.372578 33.5756286, 130.3723268 33.5756052)",2,,,,5,,,,
