osmid,y,x,street_count,highway,ref,geometry
1784328268,33.5783549,130.3486048,3,,,POINT (130.3486048 33.5783549)
1784328269,33.5777682,130.3481941,4,,,POINT (130.3481941 33.5777682)
1784328270,33.5749554,130.3524479,3,,,POINT (130.3524479 33.5749554)
1784328271,33.578263,130.3463097,3,,,POINT (130.3463097 33.578263)
1784328272,33.5749017,130.3512436,3,,,POINT (130.3512436 33.5749017)
1784328274,33.5787785,130.3495961,3,,,POINT (130.3495961 33.5787785)
1792665647,33.5807157,130.3571193,3,,,POINT (130.3571193 33.5807157)
1792665648,33.5810706,130.3608659,4,,,POINT (130.3608659 33.5810706)
1792665649,33.5802114,130.3573054,3,,,POINT (130.3573054 33.5802114)
1792665651,33.5816058,130.3642476,5,,,POINT (130.3642476 33.5816058)
1792665653,33.5812914,130.3626853,4,,,POINT (130.3626853 33.5812914)
1792665654,33.5811622,130.359958,3,,,POINT (130.359958 33.5811622)
1792665655,33.5791857,130.357957,4,,,POINT (130.357957 33.5791857)
1792665656,33.5799878,130.3573993,3,,,POINT (130.3573993 33.5799878)
1792665658,33.5810971,130.3614461,4,,,POINT (130.3614461 33.5810971)
1792665660,33.5821171,130.3601439,3,,,POINT (130.3601439 33.5821171)
1792665663,33.5810134,130.3563829,3,,,POINT (130.3563829 33.5810134)
1792687204,33.5800344,130.3625932,4,,,POINT (130.3625932 33.5800344)
1792687205,33.5803756,130.3615821,3,,,POINT (130.3615821 33.5803756)
1792687209,33.5795762,130.3625609,4,,,POINT (130.3625609 33.5795762)
1792687211,33.5808094,130.3651391,3,,,POINT (130.3651391 33.5808094)
1792687216,33.5778507,130.3617252,3,,,POINT (130.3617252 33.5778507)
1792687221,33.582883,130.3623155,3,,,POINT (130.3623155 33.582883)
1792687222,33.5789917,130.3643041,4,,,POINT (130.3643041 33.5789917)
1792687223,33.5797874,130.3672128,3,,,POINT (130.3672128 33.5797874)
1792687225,33.578163,130.3652683,3,,,POINT (130.3652683 33.578163)
